recipe_id,canonical_name,aliases,region,cuisine,source_name,record_type,source_url,source_details,nutrition_status
GF-REG-00011,Kerala Vegetable Stew,Vegetable Stew; Ishtu; Kerala Ishtu,Kerala,South Indian,NDTV Food,source_recipe,https://food.ndtv.com/recipe-kerala-vegetable-stew-227434,4 servings; 4 cups mixed vegetables; 2 onions; 4 tbsp oil; cardamom; cloves; cinnamon; green chilli; ginger; pepper; 2 cups coconut milk; curry leaves,No canonical nutrition assigned.
GF-REG-00012,Kerala Appam,Appam; Palappam; Vellayappam,Kerala,South Indian,Tarla Dalal,source_recipe,https://www.tarladalal.com/appam--how-to-make-appam--32844r,15 appams; 2 cups uncooked rice; 1/2 cup cooked rice; yeast; sugar; 1 cup coconut milk; salt; oil,No canonical nutrition assigned.
GF-REG-00013,Chole Bhature,Chana Bhatura; Chole Bhatura; Chola Bhatura,Punjab / North India,North Indian,NDTV Food / Dassana,source_recipe,https://food.ndtv.com/recipe-chole-bhature-231327,4 servings; chickpeas; oil; whole spices; onion; tomato; ginger; garlic; spices; refined flour; yeast; wheat flour; oil for frying,No canonical nutrition assigned; recipe calories from third-party pages are not adopted.
GF-REG-00014,Rajma Chawal,Rajma Rice; Rajma Bhaat,North India / Punjab,North Indian,regional recipe family,recipe_family,https://www.indiatoday.in/food-drink/food/story/rajma-chawal-recipe,Recipe family record; exact recipe version and source quantities to be selected before nutrition derivation.,No canonical nutrition assigned.
GF-REG-00015,Dal Makhani,Dal Makhni; Maa Ki Dal,Punjab / North India,North Indian,regional recipe family,recipe_family,https://www.punjabtourism.gov.in/,Black gram/urad + rajma + butter/ghee + cream + tomato/onion/spices; exact source recipe must be selected before canonical nutrition derivation.,No canonical nutrition assigned.
GF-REG-00016,Aloo Paratha,Aloo Parantha; Potato Paratha,Punjab / North India,North Indian,regional recipe family,recipe_family,https://www.incredibleindia.gov.in/en/food-and-cuisine,Wheat flour + potato filling + spices + oil/ghee; exact source recipe must be selected before canonical nutrition derivation.,No canonical nutrition assigned.
GF-REG-00017,Pav Bhaji,Mumbai Pav Bhaji; Pav Bhaji,Maharashtra / Mumbai,West Indian,Dassana's Veg Recipes,source_recipe,https://www.vegrecipesofindia.com/pav-bhaji-recipe-mumbai-pav-bhaji-a-fastfood-recipe-from-mumbai/,5 servings; potato 250 g; cauliflower 120-130 g; carrot; peas; beans; butter; onion; ginger-garlic; capsicum; tomatoes; pav bhaji masala; pav,No canonical nutrition assigned; ingredient quantities retained.
GF-REG-00018,Misal Pav,Misal; Misal Pav,Maharashtra,West Indian,regional recipe family,recipe_family,https://www.incredibleindia.gov.in/en/maharashtra,Sprouted moth/bean curry + farsan + pav + onion/lemon; exact recipe version required for canonical nutrition.,No canonical nutrition assigned.
GF-REG-00019,Dhokla,Khaman Dhokla; Khaman; Dhokla,Gujarat,West Indian,regional recipe family,recipe_family,https://www.gujarattourism.com/,Fermented/instant gram flour or rice-lentil batter depending on variant; variants must not be merged.,No canonical nutrition assigned.
GF-REG-00020,Undhiyu,Surti Undhiyu; Gujarati Undhiyu; Undhiyu,Gujarat,West Indian,NDTV / Dassana,source_recipe,https://food.ndtv.com/recipe-undhiyu-548975,3 servings NDTV version: yam 100 g; potato 100 g; beans 100 g; raw banana 100 g; muthiya ingredients; coconut; coriander; spices; oil.,No canonical nutrition assigned.
GF-REG-00021,Pakhala Bhata,Pakhala; Dahi Pakhala; Pakhala Bhaat,Odisha,East Indian,NDTV Food / Odisha Recipes,source_recipe,https://food.ndtv.com/recipe-pakhala-bhata-954952,2 servings; 2 cups cooked rice; 1 cup water; 1 cup curd; salt; ginger; lemon; curry leaves; cumin.,"Publisher reports 372 kcal/recipe, but it is not adopted as canonical nutrition."
GF-REG-00022,Macher Jhol,Machher Jhol; Fish Jhol,West Bengal,East Indian,regional recipe family,recipe_family,https://www.wbtourism.gov.in/,Fish curry family; exact fish species/cut and recipe source required for canonical nutrition.,
GF-REG-00023,Dalma,Dalma; Dalma Tarkari,Odisha,East Indian,regional recipe family,recipe_family,https://odishatourism.gov.in/,Toor dal + vegetables + tempering; exact recipe version required before canonical nutrition.,
GF-REG-00024,Litti Chokha,Litti Chokha; Litti,Bihar,North/East Indian,regional recipe family,recipe_family,https://tourism.bihar.gov.in/,Wheat litti stuffed with sattu + chokha; exact recipe version required before canonical nutrition.,
GF-REG-00025,Gongura Mutton,Gongura Mamsam; Gongura Mutton,Andhra Pradesh / Telangana,South Indian,regional recipe family,recipe_family,https://tourism.telangana.gov.in/,Goat/mutton + gongura + onion + spices; meat cut and fat content must be explicit.,
GF-REG-00026,Bagara Baingan,Bagara Baingan; Bagara Vankaya,Telangana / Hyderabad,South Indian,regional recipe family,recipe_family,https://tourism.telangana.gov.in/,Brinjal stuffed/cooked with peanut-sesame/coconut/spice masala; exact source recipe required.,
GF-REG-00027,Tomato Rice,Thakkali Sadam; Tomato Bath; Tomato Rice,Tamil Nadu / Karnataka / South India,South Indian,regional recipe family,recipe_family,https://www.tamilnadutourism.com/,Rice + tomato + spices; regional versions differ.,
GF-REG-00028,Curd Rice,Thayir Sadam; Mosaranna; Daddojanam,Tamil Nadu / Karnataka / Andhra,South Indian,regional recipe family,recipe_family,https://www.tamilnadutourism.com/,Cooked rice + curd/yogurt + tempering; regional variants preserved separately.,
GF-REG-00029,Ven Pongal,Pongal; Ven Pongal; Khara Pongal,Tamil Nadu,South Indian,regional recipe family,recipe_family,https://www.tamilnadutourism.com/,Rice + moong dal + ghee/oil + pepper + cumin + ginger; exact recipe source required.,
GF-REG-00030,Kothu Parotta,Kothu Parotta; Koththu Parotta,Tamil Nadu,South Indian,regional recipe family,recipe_family,https://www.tamilnadutourism.com/,Shredded parotta + egg/meat/vegetables + onion + spices; variants must remain separate.,
