recipe_id,alias,language,alias_type
GF-REG-00027,Tomato Rice,regional/common,regional_or_common_alias
GF-REG-00028,Curd Rice,English,canonical
GF-REG-00028,Thayir Sadam,regional/common,regional_or_common_alias
GF-REG-00028,Mosaranna,regional/common,regional_or_common_alias
GF-REG-00028,Daddojanam,regional/common,regional_or_common_alias
GF-REG-00029,Ven Pongal,English,canonical
GF-REG-00029,Pongal,regional/common,regional_or_common_alias
GF-REG-00029,Ven Pongal,regional/common,regional_or_common_alias
GF-REG-00029,Khara Pongal,regional/common,regional_or_common_alias
GF-REG-00030,Kothu Parotta,English,canonical
GF-REG-00030,Kothu Parotta,regional/common,regional_or_common_alias
GF-REG-00030,Koththu Parotta,regional/common,regional_or_common_alias
