coverage_id,region,state,category,canonical_name,aliases,source_evidence,nutrition_status,nutrition_rule
REG22-0018,Andhra/Telangana,Telangana,breakfast,Sarva Pindi,Ginne Appa,regional research: Andhra cuisine / NCHMCT regional-cuisine materials; exact nutrition requires source recipe + ingredient mapping,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0019,Andhra/Telangana,Telangana,snack,Sakinalu,Sakinalu; Chakinalu,regional research: Andhra cuisine / NCHMCT regional-cuisine materials; exact nutrition requires source recipe + ingredient mapping,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0020,South,Karnataka,rice dish,Bisi Bele Bath,Bisi Bele Bhaath,NCHMCT/Indian regional cuisine references and regional recipe sources,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0021,South,Karnataka,flatbread,Akki Rotti,Akki Roti,NCHMCT/Indian regional cuisine references and regional recipe sources,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0022,South,Karnataka,flatbread,Ragi Rotti,Ragi Roti,NCHMCT/Indian regional cuisine references and regional recipe sources,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0023,South,Karnataka,flatbread,Jowar Rotti,Jolada Rotti,NCHMCT/Indian regional cuisine references and regional recipe sources,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0024,South,Karnataka,dosa,Neer Dosa,Neer Dose,NCHMCT/Indian regional cuisine references and regional recipe sources,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0025,South,Karnataka,dosa,Set Dosa,Set Dose,NCHMCT/Indian regional cuisine references and regional recipe sources,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0026,South,Karnataka,dosa,Mysore Masala Dosa,Mysore Dosa,NCHMCT/Indian regional cuisine references and regional recipe sources,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0027,South,Karnataka,rice dish,Vangi Bath,Vangibath,NCHMCT/Indian regional cuisine references and regional recipe sources,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0028,South,Karnataka,rice dish,Puliyogare,Puliyodarai; Tamarind Rice,NCHMCT/Indian regional cuisine references and regional recipe sources,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0029,South,Karnataka,snack,Maddur Vada,Maddur Vade,NCHMCT/Indian regional cuisine references and regional recipe sources,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0030,South,Karnataka,side,Kosambari,Kosambari Salad,NCHMCT/Indian regional cuisine references and regional recipe sources,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0031,South,Karnataka,curry,Ennegayi,Stuffed Brinjal; Yennegai,NCHMCT/Indian regional cuisine references and regional recipe sources,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0032,South,Karnataka,curry,Sagu,Vegetable Sagu,NCHMCT/Indian regional cuisine references and regional recipe sources,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0033,South,Karnataka,sweet,Mysore Pak,Mysorepaku,NCHMCT/Indian regional cuisine references and regional recipe sources,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0034,South,Tamil Nadu,rice dish,Ven Pongal,Khara Pongal,NCHMCT/Indian regional cuisine references; parotta variants cross-checked against paratha regional literature,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0035,South,Tamil Nadu,sweet,Sakkarai Pongal,Sweet Pongal,NCHMCT/Indian regional cuisine references; parotta variants cross-checked against paratha regional literature,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0036,South,Tamil Nadu,rice dish,Lemon Rice,Elumichai Sadam,NCHMCT/Indian regional cuisine references; parotta variants cross-checked against paratha regional literature,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0037,South,Tamil Nadu,rice dish,Curd Rice,Thayir Sadam,NCHMCT/Indian regional cuisine references; parotta variants cross-checked against paratha regional literature,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0038,South,Tamil Nadu,rice dish,Tomato Rice,Thakkali Sadam,NCHMCT/Indian regional cuisine references; parotta variants cross-checked against paratha regional literature,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0039,South,Tamil Nadu,rice dish,Coconut Rice,Thengai Sadam,NCHMCT/Indian regional cuisine references; parotta variants cross-checked against paratha regional literature,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0040,South,Tamil Nadu,rice dish,Tamarind Rice,Puli Sadam,NCHMCT/Indian regional cuisine references; parotta variants cross-checked against paratha regional literature,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0041,South,Tamil Nadu,dosa,Adai,Adai Dosai,NCHMCT/Indian regional cuisine references; parotta variants cross-checked against paratha regional literature,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0042,South,Tamil Nadu,bread,Veechu Parotta,Veechu Parotta,NCHMCT/Indian regional cuisine references; parotta variants cross-checked against paratha regional literature,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0043,South,Tamil Nadu,bread,Bun Parotta,Bun Parotta,NCHMCT/Indian regional cuisine references; parotta variants cross-checked against paratha regional literature,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0044,South,Tamil Nadu,bread/meal,Kothu Parotta,Kothu Parotta,NCHMCT/Indian regional cuisine references; parotta variants cross-checked against paratha regional literature,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0045,South,Tamil Nadu,curry,Kara Kuzhambu,Kara Kulambu,NCHMCT/Indian regional cuisine references; parotta variants cross-checked against paratha regional literature,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0046,South,Tamil Nadu,curry,Kootu,Vegetable Kootu,NCHMCT/Indian regional cuisine references; parotta variants cross-checked against paratha regional literature,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0047,South,Tamil Nadu,side,Poriyal,Porial,NCHMCT/Indian regional cuisine references; parotta variants cross-checked against paratha regional literature,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0048,South,Tamil Nadu,meat dish,Chettinad Chicken,Chicken Chettinad,NCHMCT/Indian regional cuisine references; parotta variants cross-checked against paratha regional literature,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0049,South,Tamil Nadu,meat dish,Chettinad Mutton,Mutton Chettinad,NCHMCT/Indian regional cuisine references; parotta variants cross-checked against paratha regional literature,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0050,South,Kerala,breakfast,Puttu,Puttu,Kerala Tourism / NCHMCT / Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0051,South,Kerala,breakfast,Puttu & Kadala Curry,Puttu Kadala,Kerala Tourism / NCHMCT / Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0052,South,Kerala,bread,Malabar Parotta,Kerala Parotta,Kerala Tourism / NCHMCT / Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0053,South,Kerala,bread/meal,Kothu Parotta,Kothu Parotta,Kerala Tourism / NCHMCT / Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0054,South,Kerala,breakfast,Appam,Palappam,Kerala Tourism / NCHMCT / Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0055,South,Kerala,curry,Vegetable Stew,Ishtu,Kerala Tourism / NCHMCT / Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0056,South,Kerala,curry,Avial,Aviyal,Kerala Tourism / NCHMCT / Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0057,South,Kerala,side,Thoran,Thoran,Kerala Tourism / NCHMCT / Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0058,South,Kerala,curry,Erissery,Erisheri,Kerala Tourism / NCHMCT / Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0059,South,Kerala,curry,Fish Moilee,Meen Molee,Kerala Tourism / NCHMCT / Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0060,South,Kerala,curry,Kerala Fish Curry,Meen Curry,Kerala Tourism / NCHMCT / Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0061,South,Kerala,meat dish,Beef Ularthiyathu,Beef Fry,Kerala Tourism / NCHMCT / Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0062,South,Kerala,meat dish,Chicken Stew,Kerala Chicken Stew,Kerala Tourism / NCHMCT / Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0063,South,Kerala,sweet,Palada Payasam,Palada Pradhaman,Kerala Tourism / NCHMCT / Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0064,West,Maharashtra,snack,Misal Pav,Misal,NCHMCT/Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0065,West,Maharashtra,snack,Vada Pav,Wada Pav,NCHMCT/Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0066,West,Maharashtra,breakfast,Sabudana Khichdi,Sabudana Khichadi,NCHMCT/Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0067,West,Maharashtra,breakfast,Poha,Kanda Poha,NCHMCT/Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0068,West,Maharashtra,flatbread,Thalipeeth,Thali Pith,NCHMCT/Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0069,West,Maharashtra,meal,Pithla Bhakri,Pithla Bhakari,NCHMCT/Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0070,West,Maharashtra,sweet,Puran Poli,Puranpoli,NCHMCT/Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0071,West,Maharashtra,curry,Bharli Vangi,Bharli Vangi,NCHMCT/Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0072,West,Gujarat,flatbread,Thepla,Methi Thepla,NCHMCT/Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0073,West,Gujarat,snack,Dhokla,Khaman Dhokla variants,NCHMCT/Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0074,West,Gujarat,snack,Khandvi,Patuli,NCHMCT/Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0075,West,Gujarat,meal,Undhiyu,Undhiyo,NCHMCT/Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0076,West,Gujarat,meal,Dal Dhokli,Dal Dhokli,NCHMCT/Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0077,West,Gujarat,curry,Sev Tameta,Sev Tameta nu Shaak,NCHMCT/Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0078,West,Rajasthan,meal,Dal Baati Churma,Dal Bati Churma,NCHMCT/Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0079,West,Rajasthan,bread,Bajra Roti,Bajre ki Roti,NCHMCT/Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0080,West,Rajasthan,meal,Gatte Ki Sabzi,Gatte,NCHMCT/Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0081,West,Rajasthan,snack,Pyaz Kachori,Pyaaz Kachori,NCHMCT/Indian regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0082,North,Punjab,bread,Amritsari Kulcha,Amritsari Aloo Kulcha,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0083,North,Punjab,bread,Makki Di Roti,Makki Roti,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0084,North,Punjab,curry,Sarson Da Saag,Sarson Saag,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0085,North,Punjab,meal,Rajma Chawal,Rajma Rice,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0086,North,Punjab,meal,Chole Bhature,Chola Bhatura,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0087,North,Punjab,meat dish,Tandoori Murg,Tandoori Chicken,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0088,North,Punjab,meat dish,Amritsari Fish,Fish Amritsari,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0089,North,Awadh,meat dish,Murgh Musallam,Murg Musallam,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0090,North,Awadh,meat dish,Mutton Korma,Gosht Korma,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0091,North,Awadh,meat dish,Mutton Do Pyaza,Gosht Do Pyaza,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0092,North,Awadh,meat dish,Galouti Kebab,Galawati Kebab,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0093,North,Awadh,rice dish,Yakhni Pulao,Yakhni Pulav,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0094,North,Awadh,rice dish,Navratan Pulao,Navratan Pulav,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0095,North,Awadh,bread,Warqi Paratha,Warqi Paratha,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0096,North,Bengal,bread,Mughlai Paratha,Moghlai Porota,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0097,North,Bengal,bread,Dhakai Paratha,Dhakai Porota,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0098,North,Bengal,bread,Petai Parota,Petai Porota,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0099,North,Bengal,bread,Luchi,Luchi,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0100,North,Bengal,rice dish,Ghee Bhat,Ghee Bhaat,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0101,North,Bengal,fish,Macher Jhol,Machher Jhol,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0102,North,Bengal,fish,Shorshe Ilish,Ilish Bhapa variants,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0103,East,Odisha,rice dish,Pakhala Bhata,Pakhala,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0104,East,Odisha,meal,Dalma,Dalma,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0105,East,Odisha,snack,Pitha,Pitha,NCHMCT Indian Food Heritage / regional cuisine references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0106,North,Punjab,naan,Plain Naan,Naan,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0107,North,Punjab,naan,Butter Naan,,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0108,North,Punjab,naan,Garlic Naan,,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0109,North,Punjab,naan,Cheese Naan,,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
REG22-0110,North,Punjab,naan,Keema Naan,,paratha/naan regional literature; NCHMCT Indian regional cuisine; Times of India/NDTV bread/paratha references,candidate—nutrition not yet promoted,Do not use name-only calories; promote only after source recipe/ingredient quantities are mapped to source-backed nutrient records.
